block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetnewfriends,girl1,girl2,black,none,center,1,,black-background,FAM
1,1,hi_oliva,girl1outline,girl2gray,black,red,left,0,,black-background,FAM
1,2,hi_emily,girl1gray,girl2outline,black,blue,right,2,,black-background,FAM
2,3,1lookatme,girl1outline,girl2gray,black,red,left,0,,black-background,FAM_LWL
2,4,2lookatme,girl1gray,girl2outline,black,blue,right,2,,black-background,FAM_LWL
3,5,1itthat_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,FAM
3,6,2itsee_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,FAM
3,7,1seethat_shoe,girl1outline,girl2gray,shoe_circle,shoe_red,left,0,,black-background,FAM
3,8,2thatit_shoe,girl1gray,girl2outline,shoe_circle,shoe_blue,right,2,,black-background,FAM
4,9,find_shoe,shoe_square,ball_square,black,shoe,left,0,,black-background,FAM_LWL
4,10,where_ball,ball_square,shoe_square,black,ball,left,0,,black-background,FAM_LWL
4,11,nicework,LfireworksBlack,RfireworksBlack,black,AG,center,1,,black-background,filler
5,12,1thatsee_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,Teaching
5,13,2don'tknow,girl1gray,girl2outline,nov1_circle,tanzer_blue,right,2,,black-background,Teaching
5,14,2thatit_bosa,girl1gray,girl2outline,nov2_circle,bosa_blue,right,2,,black-background,Teaching
5,15,1notsure,girl1outline,girl2gray,nov2_circle,bosa_red,left,0,,black-background,Teaching
5,16,2notsure,girl1gray,girl2outline,nov3_circle,cheem_blue,right,2,,black-background,Teaching
5,17,1seeit_cheem,girl1outline,girl2gray,nov3_circle,cheem_red,left,0,,black-background,Teaching
5,18,2seethat_noop,girl1gray,girl2outline,nov4_circle,noop_blue,right,2,,black-background,Teaching
5,19,1don'tknow,girl1outline,girl2gray,nov4_circle,noop_red,left,0,,black-background,Teaching
5,20,1itthat_akar,girl1outline,girl2gray,nov5_circle,akar_red,left,0,,black-background,Teaching
5,21,2don'tknow,girl1gray,girl2outline,nov5_circle,akar_blue,right ,2,,black-background,Teaching
5,22,1notsure,girl1outline,girl2gray,nov6_circle,wiso_red,left,0,,black-background,Teaching
5,23,2itsee_wiso,girl1gray,girl2outline,nov6_circle,wiso_blue,right,2,,black-background,Teaching
5,24,doinggreat,LoceanBlack,RoceanBlack,black,AG,center,1,,black-background,filler
6,25,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
6,26,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
6,27,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
6,28,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
6,29,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
6,30,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
6,31,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
6,32,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
6,33,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
6,34,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
6,35,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
6,36,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
6,37,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
6,38,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
6,39,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
6,40,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,41,find_dax,nov10_square,nov7_square,black,dax_red,right,2,,black-background,ImmTest
7,42,find_vab,nov10_square,nov9_square,black,vab_blue,left,0,,black-background,ImmTest
7,43,where_roke,nov7_square,nov8_square,black,roke_blue,left,0,,black-background,ImmTest
7,44,find_posk,nov7_square,nov8_square,black,posk_blue,right,2,,black-background,ImmTest
7,45,find_gasser,nov9_square,nov10_square,black,gasser_red,left,0,,black-background,ImmTest
7,46,where_fisp,nov7_square,nov10_square,black,fisp_red,right,2,,black-background,ImmTest
7,47,where_teebu,nov8_square,nov9_square,black,teebu_blue,right,2,,black-background,ImmTest
7,48,where_smope,nov8_square,nov9_square,black,smope_red,left,0,,black-background,ImmTest
7,49,amazingjob,LballoonsBlack,RballoonsBlack,black,AG,center,1,,black-background,filler
8,50,whoknowsaboutthis,girl1,girl2,nov11_circle,redspeaker,left,0,,black-background,ImmTest
8,51,whoknowsaboutthis,girl1,girl2,nov12_circle,bluespeaker,right,2,,black-background,ImmTest
8,52,whoknows_bluetoys,girl1,girl2,black,bluespeaker,left,2,,black-background,ImmTest
8,53,whoknows_redtoys,girl1,girl2,black,redspeaker,right,0,,black-background,ImmTest
8,54,awesome_alldone,LbeachBlack,RbeachBlack,black,AG,center,1,,black-background,filler
