block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,find_shoe,shoe_square,ball_square,black,shoe,left,0,,black-background,FAM_LWL
1,2,meetnewfriends,girl1,girl2,black,none,center,1,,black-background,intro
1,3,hi_olivia,girl1outline,girl2gray,black,red,left,0,,black-background,intro
1,4,hi_emily,girl1gray,girl2outline,black,blue,right,2,,black-background,intro
2,5,1lookatme,girl1outline,girl2gray,black,red,left,0,,black-background,FAM_LWL
2,6,2lookatme,girl1gray,girl2outline,black,blue,right,2,,black-background,FAM_LWL
3,7,checkouttoys,girl1,girl2,black,none,center,1,,black-background,intro
3,8,1itthat_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,FAM
3,9,2itsee_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,FAM
3,10,1seethat_shoe,girl1outline,girl2gray,shoe_circle,shoe_red,left,0,,black-background,FAM
3,11,2thatit_shoe,girl1gray,girl2outline,shoe_circle,shoe_blue,right,2,,black-background,FAM
4,12,find_shoe,shoe_square,ball_square,black,shoe,left,0,,black-background,FAM_LWL
4,13,where_ball,shoe_square,ball_square,black,ball,right,2,,black-background,FAM_LWL
4,14,nicework,LfireworksBlack,RfireworksBlack,black,AG,center,1,,black-background,filler
5,15,heartoys,girl1,girl2,black,none,center,1,,black-background,intro
5,16,1thatsee_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,Teaching
5,17,2don'tknow,girl1gray,girl2outline,nov1_circle,tanzer_blue,right,2,,black-background,Teaching
5,18,2thatit_bosa,girl1gray,girl2outline,nov2_circle,bosa_blue,right,2,,black-background,Teaching
5,19,1haven'tseen,girl1outline,girl2gray,nov2_circle,bosa_red,left,0,,black-background,Teaching
5,20,1seeit_cheem,girl1outline,girl2gray,nov3_circle,cheem_red,left,0,,black-background,Teaching
5,21,2haven'tseen,girl1gray,girl2outline,nov3_circle,cheem_blue,right,2,,black-background,Teaching
5,22,2seethat_noop,girl1gray,girl2outline,nov4_circle,noop_blue,right,2,,black-background,Teaching
5,23,1don'tknow,girl1outline,girl2gray,nov4_circle,noop_red,left,0,,black-background,Teaching
5,24,1itthat_akar,girl1outline,girl2gray,nov5_circle,akar_red,left,0,,black-background,Teaching
5,25,2don'tknow,girl1gray,girl2outline,nov5_circle,akar_blue,right ,2,,black-background,Teaching
5,26,2itsee_wiso,girl1gray,girl2outline,nov6_circle,wiso_blue,right,2,,black-background,Teaching
5,27,1haven'tseen,girl1outline,girl2gray,nov6_circle,wiso_red,left,0,,black-background,Teaching
6,28,find_akar,nov6_square,nov5_square,black,akar_red,right,2,,black-background,FAM_LWL
6,29,where_wiso,nov6_square,nov5_square,black,wiso_blue,left,0,,black-background,FAM_LWL
6,30,doinggreat,LoceanBlack,RoceanBlack,black,AG,center,1,,black-background,filler
7,31,newtoys,girl1,girl2,black,none,center,1,,black-background,intro
7,32,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,33,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
7,34,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
7,35,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
