trial_type,audio_path,video_path,image_path,button_position_x,button_position_y,button_width,button_height,button1_position_x,button1_position_y,button1_width,button1_height,button2_position_x,button2_position_y,button2_width,button2_height,background_image,overlay_image_1,overlay_image_2,correct_response,condition
practice,audio/click_zookeeper.wav,,image/intro_pic.png,0,0,135,405,,,,,,,,,,,,,
practice,audio/silence.wav,,image/giraffe_check.png,202,101,270,202,,,,,,,,,,,,,
practice,audio/click_mechanic.wav,,image/intro_pic.png,1620,0,540,1620,,,,,,,,,,,,,
practice,audio/silence.wav,,image/helicopter_check.png,67,101,270,202,,,,,,,,,,,,,
check,audio/who_knows_more.wav,,image/lion.png,,,,,0,0,135,405,405,0,135,405,,,,,
check,audio/who_knows_more.wav,,image/car.png,,,,,0,0,135,405,405,0,135,405,,,,,
practice,audio/silence.wav,,image/break.png,,,,,,,,,,,,,,,,,
test,audio/where_truck.wav,,,,,,,,,,,,,,,image/table.png,image/truck.png,image/bear.png,button1,pilot
test,audio/find_dax.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/V1.png,button1,pilot
test,audio/find_gasser.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A2.png,button2,pilot
test,audio/find_posk.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/A1.png,button1,pilot
test,audio/where_roke.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button2,pilot
test,audio/where_giraffe.wav,,,,,,,,,,,,,,,image/table.png,image/helicopter.png,image/giraffe.png,button2,pilot
test,audio/find_vab.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button1,pilot
test,audio/where_smope.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/V1.png,button2,pilot
test,audio/where_teebu.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/A2.png,button2,pilot
test,audio/where_fisp.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button1,pilot
check,audio/silence.wav,,image/V3.png,,,,,0,0,135,405,405,0,135,405,,,,,
check,audio/silence.wav,,image/A3.png,,,,,0,0,135,405,405,0,135,405,,,,,
