trial_type,audio_path,video_path,image_path,button_position_x,button_position_y,button_width,button_height,button1_position_x,button1_position_y,button1_width,button1_height,button2_position_x,button2_position_y,button2_width,button2_height,background_image,overlay_image_1,overlay_image_2,correct_response,condition,expert
practice,audio/silence.wav,,image/shapetest.png,540,0,540,400,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/shapetest.png,0,400,540,400,,,,,,,,,,,,,,
training,audio/intro.wav,video/intro.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/zooclick.wav,,image/intro.png,0,0,270,800,,,,,,,,,,,,,,
training,audio/giraffe.wav,video/giraffe.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/giraffe_check.png,450,190,540,405,,,,,,,,,,,,,,
training,audio/bear.wav,video/bear.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/bear_check.png,450,190,540,405,,,,,,,,,,,,,,
training,audio/elephant.wav,video/elephant.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/elephant_check.png,450,190,540,405,,,,,,,,,,,,,,
training,audio/zoothanks.wav,video/zoothanks.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/mechclick.wav,,image/intro.png,810,0,270,800,,,,,,,,,,,,,,
training,audio/airplane.wav,video/plane.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/plane_check.png,100,190,540,405,,,,,,,,,,,,,,
training,audio/train.wav,video/train.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/train_check.png,100,190,540,405,,,,,,,,,,,,,,
training,audio/truck.wav,video/truck.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/truck_check.png,100,190,540,405,,,,,,,,,,,,,,
training,audio/mechthanks.wav,video/mechthanks.mp4,,,,,,,,,,,,,,,,,,,
training,audio/trans1.wav,video/trans1.mp4,,,,,,,,,,,,,,,,,,,
check,audio/more.wav,,image/lion.png,,,,,0,0,405,800,675,0,405,800,,,,button1,object,zoo
check,audio/more.wav,,image/car.png,,,,,0,0,405,800,675,0,405,800,,,,button2,object,mech
check,audio/moreanimals.wav,,image/bothspeakers.png,,,,,0,0,405,800,675,0,405,800,,,,button1,role,zoo
check,audio/morevehicles.wav,,image/bothspeakers.png,,,,,0,0,405,800,675,0,405,800,,,,button2,role,mech
practice,audio/silence.wav,,image/break.png,0,0,1080,800,,,,,,,,,,,,,,
training,audio/trans2.wav,video/trans2.mp4,,,,,,,,,,,,,,,,,,,
training,audio/nov1.wav,video/nov1.mp4,,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/break.png,0,0,1080,800,,,,,,,,,,,,,,
training,audio/trans3.wav,video/trans3.mp4,,,,,,,,,,,,,,,,,,,
training,audio/nov2.wav,video/nov2.mp4,,,,,,,,,,,,,,,,,,,
training,audio/trans4.wav,video/trans4.mp4,,,,,,,,,,,,,,,,,,,
test,audio/findtruck.wav,,,,,,,,,,,,,,,image/table.png,image/truck.png,image/bear.png,button1,fam,
test,audio/fiffin.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button2,nonmatch,zoo
test,audio/teebu.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button2,nonmatch,mech
test,audio/posk.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button1,match,mech
test,audio/dax.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button1,match,zoo
test,audio/findgiraffe.wav,,,,,,,,,,,,,,,image/table.png,image/plane.png,image/giraffe.png,button2,fam,
test,audio/gasser.wav,,,,,,,,,,,,,,,image/table.png,image/A2.png,image/A1.png,button1,match,zoo
test,audio/koba.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button2,nonmatch,mech
test,audio/smope.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button1,nonmatch,zoo
